"id","holiday_name","holiday_date","created_at","updated_at"
"1","REPUBLIC DAY","2022-01-26","2022-09-05 13:46:58","2022-09-05 13:46:58"
"2","SARASWATI PUJA","2022-02-05","2022-09-05 13:47:31","2022-09-05 13:47:31"
"3","DOL YATRA/HOLI","2022-03-18","2022-09-05 13:47:56","2022-09-05 13:47:56"
"4","GOOD FRIDAY","2022-04-15","2022-09-05 13:48:35","2022-09-05 13:48:35"
"5","ID-UL-FITR* (Subject to Change on Lunar Position)","2022-05-03","2022-09-05 13:49:06","2022-09-05 13:49:06"
"6","MUHARRAM","2022-07-30","2022-09-05 13:49:31","2022-09-05 13:49:31"
"7","INDEPENDENCE DAY","2022-08-15","2022-09-05 13:50:21","2022-09-05 13:50:21"
"8","DURGA PUJA - MAHA ASHTAMI","2022-10-03","2022-09-05 13:50:45","2022-09-05 13:50:45"
"9","DURGA PUJA - MAHA NAVAMI","2022-10-04","2022-09-05 13:51:14","2022-09-05 13:51:14"
"10","DURGA PUJA - BIJAYA DASHAMI","2022-10-05","2022-09-05 13:51:52","2022-09-05 13:51:52"
"11","KOJAGARI LAXMI PUJA","2022-10-10","2022-09-05 13:52:29","2022-09-05 13:52:29"
"12","DIWALI/KALI PUJA","2022-10-24","2022-09-05 13:53:00","2022-09-05 13:53:00"
"13","BHAIFOTA","2022-10-26","2022-09-05 13:53:28","2022-09-05 13:53:28"
"14","CHHATH PUJA","2022-10-31","2022-09-05 13:53:53","2022-09-05 13:53:53"
